Pioggia mm,Qual_x,Vel. Vento m/s,Qual_y,Umidita' aria %,Qual_x,Rad.Sol.Tot. kJ/m2,Qual_y,Dir. Vento Â°,Qual_x,Pressione atm. hPa,Qual_y,Temp. aria °C,Qual,Hours,Day,Month,Year
0.0,1,0.3,145.0,96.0,145.0,0.0,145.0,42.0,145.0,938.3,1.0,10.2,1.0,0,20,5,201
0.0,1,0.2,145.0,97.0,145.0,0.0,145.0,68.0,145.0,938.3,1.0,10.0,1.0,1,20,5,201
0.0,1,0.1,145.0,99.0,145.0,0.0,145.0,52.0,145.0,938.1,1.0,9.9,1.0,2,20,5,201
0.0,1,0.1,145.0,99.0,145.0,0.0,145.0,64.0,145.0,938.0,1.0,9.7,1.0,3,20,5,201
0.0,1,0.2,145.0,99.0,145.0,0.0,145.0,12.0,145.0,937.8,1.0,9.9,1.0,4,20,5,201
0.0,1,0.1,145.0,99.0,145.0,0.0,145.0,17.0,145.0,938.1,1.0,9.8,1.0,5,20,5,201
0.0,1,0.1,145.0,99.0,145.0,20.8,145.0,46.0,145.0,938.4,1.0,10.3,1.0,6,20,5,201
0.0,1,0.1,145.0,98.0,145.0,31.8,145.0,90.0,145.0,938.6,1.0,10.5,1.0,7,20,5,201
0.0,1,0.0,145.0,91.0,145.0,47.9,145.0,0.0,145.0,938.3,1.0,12.6,1.0,8,20,5,201
0.0,1,0.9,145.0,80.0,145.0,521.9,145.0,279.0,145.0,938.1,1.0,14.4,1.0,9,20,5,201
0.0,1,0.8,145.0,65.0,145.0,667.8,145.0,281.0,145.0,937.6,1.0,16.6,1.0,10,20,5,201
0.0,1,1.6,145.0,60.0,145.0,586.6,145.0,278.0,145.0,937.1,1.0,17.5,1.0,11,20,5,201
0.0,1,1.2,145.0,56.0,145.0,329.9,145.0,252.0,145.0,936.5,1.0,18.6,1.0,12,20,5,201
0.0,1,2.3,145.0,44.0,145.0,932.2,145.0,175.0,145.0,936.0,1.0,21.1,1.0,13,20,5,201
0.0,1,1.3,145.0,54.0,145.0,358.0,145.0,258.0,145.0,935.9,1.0,19.3,1.0,14,20,5,201
