Pioggia mm,Qual_x,Vel. Vento m/s,Qual_y,Umidita' aria %,Qual_x.1,Rad.Sol.Tot. kJ/m2,Qual_y.1,Dir. Vento °,Qual_x.2,Pressione atm. hPa,Qual_y.2,Temp. aria °C,Qual,Day,Month,Year,Hour
0.0,1,7.8,145,74.0,145,0.0,145,42,145,1007.2,145,16.8,1,20,5,2018,0
0.0,1,5.2,145,74.0,145,0.0,145,25,145,1007.4,145,16.7,1,20,5,2018,1
0.0,1,7.8,145,75.0,145,0.0,145,37,145,1007.6,145,16.1,1,20,5,2018,2
0.0,1,6.4,145,77.0,145,0.0,145,26,145,1007.2,145,15.5,1,20,5,2018,3
0.0,1,6.4,145,79.0,145,0.0,145,29,145,1007.3,145,15.6,1,20,5,2018,4
0.0,1,5.6,145,80.0,145,0.0,145,23,145,1007.2,145,15.1,1,20,5,2018,5
0.0,1,8.1,145,78.0,145,26.8,145,30,145,1007.3,145,15.6,1,20,5,2018,6
0.0,1,7.6,145,76.0,145,226.8,145,34,145,1007.6,145,16.0,1,20,5,2018,7
0.0,1,5.9,145,70.0,145,450.7,145,33,145,1007.3,145,17.7,1,20,5,2018,8
0.0,1,4.2,145,61.0,145,615.2,145,14,145,1006.7,145,19.3,1,20,5,2018,9
0.0,1,4.2,145,55.0,145,709.6,145,35,145,1006.4,145,20.8,1,20,5,2018,10
0.0,1,2.3,145,47.0,145,831.9,145,66,145,1005.9,145,23.2,1,20,5,2018,11
0.0,1,2.0,145,42.0,145,336.4,145,77,145,1005.6,145,23.2,1,20,5,2018,12
0.0,1,7.8,145,43.0,145,990.6,145,173,145,1004.8,145,22.9,1,20,5,2018,13
0.0,1,5.7,145,43.0,145,915.8,145,182,145,1004.9,145,22.0,1,20,5,2018,14
0.0,1,1.2,145,46.0,145,257.8,145,229,145,1004.9,145,21.0,1,20,5,2018,15
0.0,1,0.7,145,58.0,145,151.5,145,38,145,1004.4,145,20.0,1,20,5,2018,16
0.0,1,1.0,145,58.0,145,103.3,145,75,145,1004.3,145,20.3,1,20,5,2018,17
0.0,1,0.6,145,52.0,145,76.8,145,128,145,1004.5,145,21.3,1,20,5,2018,18
0.0,1,3.9,145,58.0,145,0.5,145,66,145,1005.8,145,19.0,1,20,5,2018,19
0.0,1,3.5,145,78.0,145,0.0,145,38,145,1006.4,145,17.1,1,20,5,2018,20
0.0,1,3.6,145,69.0,145,0.0,145,28,145,1006.9,145,18.2,1,20,5,2018,21
0.0,1,5.2,145,75.0,145,0.0,145,35,145,1007.9,145,17.3,1,20,5,2018,22
0.0,1,3.7,145,78.0,145,0.0,145,25,145,1007.7,145,16.6,1,20,5,2018,23
0.0,1,5.4,145,82.0,145,0.0,145,41,145,1008.1,145,15.9,1,21,5,2018,0
0.0,1,2.6,145,91.0,145,0.0,145,17,145,1007.8,145,14.8,1,21,5,2018,1
0.0,1,3.0,145,87.0,145,0.0,145,2,145,1006.7,145,14.9,1,21,5,2018,2
0.0,1,4.5,145,87.0,145,0.0,145,359,145,1006.8,145,15.0,1,21,5,2018,3
0.0,1,5.1,145,80.0,145,0.0,145,28,145,1006.9,145,15.6,1,21,5,2018,4
0.0,1,7.0,145,79.0,145,0.0,145,28,145,1006.8,145,15.7,1,21,5,2018,5
0.0,1,7.8,145,80.0,145,24.2,145,37,145,1007.0,145,15.3,1,21,5,2018,6
0.0,1,4.0,145,73.0,145,425.8,145,2,145,1006.4,145,17.3,1,21,5,2018,8
0.0,1,4.1,145,68.0,145,559.4,145,34,145,1006.0,145,19.4,1,21,5,2018,9
0.0,1,2.6,145,59.0,145,698.3,145,359,145,1004.8,145,21.3,1,21,5,2018,10
0.0,1,2.9,145,50.0,145,694.8,145,325,145,1004.6,145,22.9,1,21,5,2018,11
0.0,1,1.9,145,43.0,145,876.7,145,350,145,1003.6,145,25.1,1,21,5,2018,12
0.0,1,5.5,145,46.0,145,262.5,145,161,145,1003.8,145,22.3,1,21,5,2018,13
0.0,1,2.5,145,42.0,145,231.9,145,267,145,1003.0,145,23.0,1,21,5,2018,14
0.0,1,3.5,145,51.0,145,290.9,145,332,145,1002.6,145,22.2,1,21,5,2018,15
0.0,1,1.6,145,52.0,145,175.2,145,335,145,1002.0,145,22.1,1,21,5,2018,16
0.0,1,1.6,145,46.0,145,171.7,145,300,145,1001.6,145,24.3,1,21,5,2018,17
0.0,1,1.8,145,44.0,145,70.6,145,348,145,1001.5,145,22.5,1,21,5,2018,18
0.0,1,2.0,145,52.0,145,5.3,145,16,145,1001.9,145,21.1,1,21,5,2018,19
0.0,1,2.4,145,48.0,145,0.0,145,3,145,1002.7,145,20.7,1,21,5,2018,20
0.0,1,1.3,145,57.0,145,0.0,145,49,145,1002.8,145,19.0,1,21,5,2018,21
0.0,1,1.0,145,60.0,145,0.0,145,0,145,1002.9,145,18.4,1,21,5,2018,22
0.0,1,5.2,145,56.0,145,0.0,145,25,145,1002.3,145,19.2,1,21,5,2018,23
0.0,1,6.1,145,57.0,145,0.0,145,33,145,1002.4,145,18.6,1,22,5,2018,0
0.0,1,7.1,145,59.0,145,0.0,145,33,145,1002.0,145,18.1,1,22,5,2018,1
0.0,1,6.0,145,61.0,145,0.0,145,25,145,1001.9,145,17.6,1,22,5,2018,2
0.0,1,6.2,145,60.0,145,0.0,145,35,145,1002.1,145,17.8,1,22,5,2018,3
0.0,1,6.1,145,62.0,145,0.0,145,24,145,1002.1,145,17.4,1,22,5,2018,4
0.0,1,6.1,145,62.0,145,0.0,145,26,145,1001.9,145,17.1,1,22,5,2018,5
0.0,1,2.6,145,65.0,145,6.8,145,28,145,1002.6,145,16.7,1,22,5,2018,6
0.0,1,3.4,145,65.0,145,44.2,145,42,145,1002.8,145,16.7,1,22,5,2018,7
0.0,1,1.9,145,75.0,145,52.5,145,60,145,1003.8,145,16.1,1,22,5,2018,8
0.2,1,4.0,145,77.0,145,61.1,145,43,145,1003.8,145,15.6,1,22,5,2018,9
0.0,1,4.8,145,78.0,145,205.0,145,35,145,1004.1,145,16.2,1,22,5,2018,10
0.0,1,4.2,145,78.0,145,192.3,145,355,145,1003.3,145,16.6,1,22,5,2018,11
0.0,1,6.5,145,69.0,145,187.9,145,37,145,1003.4,145,17.8,1,22,5,2018,12
0.0,1,4.9,145,67.0,145,258.0,145,38,145,1002.8,145,19.0,1,22,5,2018,13
0.0,1,2.4,145,68.0,145,253.5,145,182,145,1004.1,145,17.2,1,22,5,2018,14
0.0,1,1.1,145,80.0,145,103.4,145,19,145,1004.0,145,17.3,1,22,5,2018,15
0.0,1,1.6,145,80.0,145,42.5,145,309,145,1003.7,145,16.2,1,22,5,2018,16
0.0,1,1.4,145,84.0,145,22.5,145,327,145,1004.1,145,15.8,1,22,5,2018,17
0.0,1,1.6,145,85.0,145,63.5,145,316,145,1004.1,145,15.9,1,22,5,2018,18
0.0,1,0.7,145,90.0,145,0.0,145,356,145,1004.4,145,15.8,1,22,5,2018,19
0.0,1,1.1,145,92.0,145,0.0,145,357,145,1004.3,145,15.8,1,22,5,2018,20
0.0,1,0.5,145,93.0,145,0.0,145,29,145,1005.3,145,15.2,1,22,5,2018,21
0.0,1,1.1,145,93.0,145,0.0,145,32,145,1005.2,145,15.6,1,22,5,2018,22
0.0,1,1.0,145,93.0,145,0.0,145,67,145,1005.9,145,15.3,1,22,5,2018,23
