Pioggia mm,Qual_x,Vel. Vento m/s,Qual_y,Umidita' aria %,Qual_x.1,Rad.Sol.Tot. kJ/m2,Qual_y.1,Dir. Vento °,Qual_x.2,Pressione atm. hPa,Qual_y.2,Temp. aria °C,Qual,Day,Month,Year,Hour
0.0,1,0.2,1,94.0,1,0.0,1,132,1,993.4,1,13.8,1,20,5,2018,0
0.0,1,0.0,1,93.0,1,0.0,1,195,1,993.3,1,13.5,1,20,5,2018,1
0.0,1,0.2,1,95.0,1,0.0,1,62,1,993.2,1,12.8,1,20,5,2018,2
0.0,1,0.5,1,98.0,1,0.0,1,21,1,993.1,1,12.3,1,20,5,2018,3
0.0,1,0.1,1,98.0,1,0.0,1,33,1,993.3,1,12.0,1,20,5,2018,4
0.0,1,0.4,1,96.0,1,0.0,1,129,1,993.3,1,11.7,1,20,5,2018,5
0.0,1,0.3,1,92.0,1,37.0,1,156,1,993.8,1,12.7,1,20,5,2018,6
0.0,1,0.6,1,85.0,1,122.7,1,147,1,993.6,1,13.9,1,20,5,2018,7
0.0,1,1.7,1,74.0,1,336.1,1,299,1,993.0,1,16.3,1,20,5,2018,8
0.0,1,2.3,1,66.0,1,530.8,1,337,1,992.5,1,18.2,1,20,5,2018,9
0.0,1,2.1,1,59.0,1,620.4,1,12,1,992.0,1,19.3,1,20,5,2018,10
0.0,1,2.2,1,59.0,1,794.9,1,329,1,991.8,1,20.8,1,20,5,2018,11
0.0,1,2.4,1,62.0,1,190.7,1,26,1,991.8,1,19.8,1,20,5,2018,12
0.0,1,1.6,1,50.0,1,939.5,1,5,1,991.1,1,22.7,1,20,5,2018,13
0.0,1,2.0,1,56.0,1,127.8,1,28,1,990.9,1,20.3,1,20,5,2018,14
0.0,1,2.3,1,60.0,1,165.5,1,16,1,991.0,1,19.7,1,20,5,2018,15
0.0,1,1.1,1,57.0,1,220.9,1,73,1,990.4,1,20.8,1,20,5,2018,16
0.0,1,1.5,1,57.0,1,131.7,1,38,1,990.0,1,20.4,1,20,5,2018,17
0.0,1,1.8,1,48.0,1,259.6,1,347,1,990.1,1,21.9,1,20,5,2018,18
0.0,1,1.1,1,80.0,1,0.0,1,34,1,991.5,1,16.6,1,20,5,2018,19
0.0,1,0.3,1,93.0,1,0.0,1,93,1,992.0,1,14.6,1,20,5,2018,20
0.0,1,1.2,1,93.0,1,0.0,1,63,1,993.0,1,15.1,1,20,5,2018,21
0.2,1,1.2,1,93.0,1,0.0,1,67,1,993.5,1,15.1,1,20,5,2018,22
0.0,1,0.8,1,93.0,1,0.0,1,199,1,993.8,1,14.6,1,20,5,2018,23
0.0,1,0.9,1,98.0,1,0.0,1,149,1,994.0,1,14.2,1,21,5,2018,0
0.0,1,0.6,1,98.0,1,0.0,1,58,1,993.4,1,14.0,1,21,5,2018,1
0.0,1,0.5,1,98.0,1,0.0,1,58,1,992.9,1,13.6,1,21,5,2018,2
0.0,1,0.5,1,100.0,1,0.0,1,150,1,993.0,1,13.4,1,21,5,2018,3
0.0,1,0.4,1,99.0,1,0.0,1,166,1,992.9,1,13.4,1,21,5,2018,4
0.0,1,0.5,1,98.0,1,0.0,1,301,1,992.9,1,13.3,1,21,5,2018,5
0.0,1,0.2,1,100.0,1,35.4,1,172,1,992.9,1,13.1,1,21,5,2018,6
0.0,1,0.3,1,99.0,1,57.0,1,206,1,992.3,1,13.4,1,21,5,2018,7
0.0,1,0.6,1,85.0,1,399.2,1,149,1,991.6,1,16.9,1,21,5,2018,8
0.0,1,1.1,1,74.0,1,221.4,1,312,1,991.3,1,17.5,1,21,5,2018,9
0.0,1,2.2,1,66.0,1,712.4,1,318,1,990.5,1,19.8,1,21,5,2018,10
0.0,1,1.7,1,53.0,1,792.0,1,328,1,989.9,1,21.5,1,21,5,2018,11
0.0,1,2.1,1,51.0,1,797.3,1,22,1,989.4,1,22.4,1,21,5,2018,12
0.0,1,2.0,1,47.0,1,980.4,1,356,1,988.7,1,23.4,1,21,5,2018,13
0.0,1,1.4,1,43.0,1,604.5,1,295,1,988.4,1,24.4,1,21,5,2018,14
0.0,1,1.3,1,40.0,1,750.2,1,309,1,987.6,1,24.4,1,21,5,2018,15
0.0,1,1.7,1,38.0,1,601.1,1,10,1,987.1,1,24.7,1,21,5,2018,16
0.0,1,0.8,1,37.0,1,385.3,1,201,1,987.0,1,25.4,1,21,5,2018,17
0.0,1,1.7,1,42.0,1,175.2,1,68,1,987.7,1,22.7,1,21,5,2018,18
0.0,1,1.2,1,53.0,1,29.0,1,4,1,987.8,1,20.3,1,21,5,2018,19
0.0,1,0.9,1,63.0,1,0.0,1,12,1,988.4,1,18.7,1,21,5,2018,20
0.0,1,0.4,1,64.0,1,0.0,1,127,1,988.7,1,18.3,1,21,5,2018,21
0.0,1,0.9,1,70.0,1,0.0,1,104,1,988.8,1,17.1,1,21,5,2018,22
0.0,1,0.7,1,71.0,1,0.0,1,341,1,988.8,1,16.2,1,21,5,2018,23
0.0,1,1.0,1,73.0,1,0.0,1,69,1,988.5,1,15.8,1,22,5,2018,0
0.0,1,0.6,1,79.0,1,0.0,1,148,1,988.3,1,14.7,1,22,5,2018,1
0.0,1,0.5,1,83.0,1,0.0,1,149,1,988.5,1,14.0,1,22,5,2018,2
0.0,1,0.9,1,82.0,1,0.0,1,180,1,988.2,1,14.2,1,22,5,2018,3
0.0,1,0.9,1,82.0,1,0.0,1,173,1,988.1,1,14.2,1,22,5,2018,4
0.0,1,0.5,1,82.0,1,0.0,1,129,1,987.9,1,14.2,1,22,5,2018,5
0.0,1,1.0,1,75.0,1,28.5,1,206,1,988.3,1,15.5,1,22,5,2018,6
0.0,1,1.8,1,72.0,1,46.6,1,19,1,988.8,1,15.5,1,22,5,2018,7
0.0,1,0.5,1,80.0,1,50.8,1,141,1,989.0,1,15.6,1,22,5,2018,8
0.0,1,0.2,1,79.0,1,146.8,1,0,1,989.8,1,15.6,1,22,5,2018,9
0.0,1,0.6,1,82.0,1,156.4,1,150,1,989.5,1,15.8,1,22,5,2018,10
0.0,1,0.7,1,82.0,1,126.9,1,55,1,989.6,1,15.9,1,22,5,2018,11
0.0,1,1.0,1,81.0,1,268.9,1,310,1,989.3,1,16.7,1,22,5,2018,12
0.0,1,1.0,1,78.0,1,185.8,1,324,1,989.2,1,17.4,1,22,5,2018,13
0.0,1,0.9,1,79.0,1,82.8,1,317,1,989.4,1,17.6,1,22,5,2018,14
0.0,1,1.1,1,77.0,1,138.8,1,358,1,989.3,1,18.2,1,22,5,2018,15
0.0,1,1.4,1,79.0,1,65.0,1,72,1,989.4,1,17.7,1,22,5,2018,16
0.0,1,0.4,1,82.0,1,67.0,1,76,1,989.0,1,18.2,1,22,5,2018,17
0.0,1,0.6,1,77.0,1,66.0,1,183,1,989.1,1,18.7,1,22,5,2018,18
0.0,1,0.5,1,84.0,1,11.6,1,80,1,989.5,1,17.2,1,22,5,2018,19
0.0,1,0.7,1,89.0,1,0.0,1,47,1,989.7,1,16.5,1,22,5,2018,20
0.0,1,0.5,1,90.0,1,0.0,1,59,1,990.5,1,16.3,1,22,5,2018,21
0.0,1,0.6,1,89.0,1,0.0,1,157,1,991.1,1,16.3,1,22,5,2018,22
0.0,1,1.0,1,88.0,1,0.0,1,76,1,991.3,1,16.0,1,22,5,2018,23
0.0,1,1.3,1,90.0,1,0.0,1,97,1,991.2,1,15.8,1,23,5,2018,0
0.0,1,0.2,1,98.0,1,0.0,1,82,1,991.5,1,15.0,1,23,5,2018,1
0.0,1,0.4,1,99.0,1,0.0,1,77,1,991.3,1,14.8,1,23,5,2018,2
0.0,1,0.0,1,100.0,1,0.0,1,0,1,991.3,1,14.6,1,23,5,2018,3
0.0,1,0.9,1,98.0,1,0.0,1,26,1,991.2,1,14.6,1,23,5,2018,4
0.0,1,0.7,1,97.0,1,0.0,1,131,1,991.1,1,14.3,1,23,5,2018,5
0.0,1,0.0,1,100.0,1,55.1,1,0,1,991.8,1,14.6,1,23,5,2018,6
0.0,1,0.0,1,94.0,1,81.5,1,0,1,992.3,1,15.8,1,23,5,2018,7
0.0,1,0.5,1,85.0,1,269.7,1,158,1,992.0,1,16.9,1,23,5,2018,8
0.0,1,0.9,1,75.0,1,549.4,1,331,1,991.4,1,19.0,1,23,5,2018,9
0.0,1,1.1,1,71.0,1,253.8,1,337,1,991.1,1,19.5,1,23,5,2018,10
0.0,1,0.6,1,68.0,1,364.8,1,23,1,990.8,1,21.7,1,23,5,2018,11
0.0,1,1.0,1,67.0,1,287.5,1,42,1,990.9,1,21.6,1,23,5,2018,12
0.0,1,0.9,1,68.0,1,231.5,1,215,1,991.4,1,21.6,1,23,5,2018,13
0.0,1,1.9,1,71.0,1,189.5,1,179,1,991.6,1,20.1,1,23,5,2018,14
0.0,1,0.5,1,73.0,1,108.4,1,271,1,991.5,1,19.6,1,23,5,2018,15
0.0,1,0.5,1,80.0,1,92.3,1,175,1,991.2,1,19.4,1,23,5,2018,16
0.0,1,0.3,1,77.0,1,145.3,1,85,1,991.0,1,19.9,1,23,5,2018,17
0.0,1,0.9,1,77.0,1,137.3,1,345,1,991.0,1,19.9,1,23,5,2018,18
0.0,1,0.9,1,78.0,1,41.3,1,355,1,991.1,1,19.7,1,23,5,2018,19
0.0,1,1.2,1,85.0,1,0.0,1,70,1,991.5,1,18.0,1,23,5,2018,20
0.0,1,0.1,1,90.0,1,0.0,1,54,1,992.1,1,17.4,1,23,5,2018,21
0.0,1,0.2,1,91.0,1,0.0,1,40,1,992.4,1,16.9,1,23,5,2018,22
0.0,1,0.3,1,91.0,1,0.0,1,68,1,992.4,1,17.0,1,23,5,2018,23
0.0,1,0.1,1,91.0,1,0.0,1,0,1,992.5,1,16.7,1,24,5,2018,0
0.0,1,0.2,1,92.0,1,0.0,1,46,1,992.5,1,16.5,1,24,5,2018,1
0.0,1,0.4,1,92.0,1,0.0,1,140,1,992.3,1,16.4,1,24,5,2018,2
0.0,1,0.3,1,90.0,1,0.0,1,181,1,992.6,1,16.5,1,24,5,2018,3
0.0,1,0.3,1,89.0,1,0.0,1,171,1,992.6,1,16.6,1,24,5,2018,4
0.0,1,0.1,1,97.0,1,0.0,1,0,1,993.0,1,16.0,1,24,5,2018,5
0.0,1,0.4,1,98.0,1,17.0,1,102,1,992.9,1,16.0,1,24,5,2018,6
0.2,1,1.6,1,94.0,1,73.8,1,17,1,992.9,1,16.5,1,24,5,2018,7
0.0,1,0.6,1,90.0,1,124.5,1,22,1,993.1,1,17.3,1,24,5,2018,8
0.0,1,0.9,1,85.0,1,220.9,1,322,1,993.0,1,18.4,1,24,5,2018,9
0.0,1,1.6,1,83.0,1,255.8,1,11,1,993.1,1,18.9,1,24,5,2018,10
0.0,1,1.3,1,73.0,1,673.7,1,333,1,992.5,1,21.0,1,24,5,2018,11
0.0,1,1.6,1,64.0,1,588.0,1,346,1,991.8,1,22.4,1,24,5,2018,12
0.0,1,1.2,1,57.0,1,445.0,1,9,1,991.5,1,23.1,1,24,5,2018,13
0.0,1,1.2,1,51.0,1,720.5,1,178,1,990.7,1,25.5,1,24,5,2018,14
0.0,1,1.2,1,54.0,1,193.0,1,26,1,990.3,1,24.1,1,24,5,2018,15
0.0,1,0.3,1,63.0,1,138.6,1,90,1,990.2,1,23.4,1,24,5,2018,16
0.0,1,1.3,1,66.0,1,236.5,1,159,1,989.7,1,23.7,1,24,5,2018,17
0.0,1,0.8,1,62.0,1,128.1,1,11,1,989.7,1,23.4,1,24,5,2018,18
0.0,1,0.4,1,70.0,1,21.0,1,75,1,990.2,1,21.0,1,24,5,2018,19
0.0,1,0.7,1,79.0,1,0.0,1,50,1,990.7,1,19.7,1,24,5,2018,20
0.0,1,0.4,1,80.0,1,0.0,1,156,1,991.4,1,18.9,1,24,5,2018,21
0.0,1,0.3,1,83.0,1,0.0,1,71,1,991.9,1,18.0,1,24,5,2018,22
0.0,1,0.4,1,84.0,1,0.0,1,116,1,992.2,1,17.2,1,24,5,2018,23
0.0,1,0.1,1,87.0,1,0.0,1,0,1,992.5,1,16.7,1,25,5,2018,0
0.0,1,0.2,1,89.0,1,0.0,1,0,1,992.2,1,16.4,1,25,5,2018,1
0.0,1,0.3,1,92.0,1,0.0,1,89,1,992.3,1,15.8,1,25,5,2018,2
0.0,1,0.0,1,94.0,1,0.0,1,0,1,992.2,1,15.2,1,25,5,2018,3
0.0,1,0.3,1,96.0,1,0.0,1,0,1,992.2,1,14.7,1,25,5,2018,4
0.0,1,0.2,1,96.0,1,0.0,1,331,1,992.1,1,14.7,1,25,5,2018,5
0.0,1,0.3,1,96.0,1,18.6,1,100,1,992.4,1,14.8,1,25,5,2018,6
0.0,1,0.2,1,94.0,1,31.7,1,85,1,992.2,1,15.8,1,25,5,2018,7
0.0,1,0.8,1,75.0,1,404.3,1,106,1,991.4,1,19.7,1,25,5,2018,8
0.0,1,2.0,1,63.0,1,568.3,1,315,1,991.1,1,21.5,1,25,5,2018,9
0.0,1,0.8,1,62.0,1,701.6,1,334,1,990.6,1,23.4,1,25,5,2018,10
0.0,1,1.0,1,51.0,1,809.6,1,317,1,990.0,1,24.3,1,25,5,2018,11
0.0,1,0.7,1,49.0,1,866.8,1,176,1,989.4,1,26.3,1,25,5,2018,12
0.0,1,1.4,1,38.0,1,885.6,1,177,1,989.1,1,28.5,1,25,5,2018,13
0.0,1,1.5,1,45.0,1,843.6,1,186,1,988.7,1,29.5,1,25,5,2018,14
0.0,1,2.7,1,41.0,1,664.7,1,180,1,988.8,1,28.8,1,25,5,2018,15
0.0,1,2.3,1,39.0,1,552.0,1,182,1,988.7,1,28.8,1,25,5,2018,16
0.0,1,1.6,1,44.0,1,317.6,1,195,1,988.7,1,28.1,1,25,5,2018,17
0.0,1,2.5,1,46.0,1,196.2,1,188,1,989.0,1,27.2,1,25,5,2018,18
0.0,1,0.3,1,53.0,1,14.3,1,200,1,989.5,1,25.1,1,25,5,2018,19
0.0,1,1.8,1,63.0,1,0.0,1,120,1,990.3,1,23.0,1,25,5,2018,20
0.0,1,0.8,1,65.0,1,0.0,1,131,1,991.8,1,22.4,1,25,5,2018,21
0.0,1,1.7,1,66.0,1,0.0,1,120,1,992.1,1,21.5,1,25,5,2018,22
0.0,1,1.4,1,68.0,1,0.0,1,143,1,992.8,1,20.9,1,25,5,2018,23
0.0,1,1.8,1,71.0,1,0.0,1,142,1,993.0,1,20.2,1,26,5,2018,0
0.0,1,1.1,1,70.0,1,0.0,1,112,1,993.1,1,20.5,1,26,5,2018,1
0.0,1,1.1,1,79.0,1,0.0,1,58,1,993.5,1,19.7,1,26,5,2018,2
0.0,1,2.0,1,84.0,1,0.0,1,69,1,993.3,1,19.2,1,26,5,2018,3
0.0,1,0.3,1,89.0,1,0.0,1,74,1,993.4,1,18.2,1,26,5,2018,4
0.0,1,0.5,1,90.0,1,0.0,1,260,1,994.2,1,17.9,1,26,5,2018,5
0.0,1,0.1,1,88.0,1,24.2,1,307,1,994.5,1,18.5,1,26,5,2018,6
0.0,1,0.3,1,81.0,1,133.0,1,144,1,994.9,1,19.9,1,26,5,2018,7
0.0,1,1.0,1,75.0,1,202.7,1,322,1,994.9,1,20.8,1,26,5,2018,8
0.0,1,2.0,1,68.0,1,489.3,1,3,1,994.6,1,21.8,1,26,5,2018,9
0.0,1,0.7,1,64.0,1,632.5,1,338,1,994.2,1,24.2,1,26,5,2018,10
0.0,1,0.8,1,54.0,1,690.8,1,109,1,994.0,1,25.8,1,26,5,2018,11
0.0,1,1.1,1,54.0,1,787.5,1,183,1,993.6,1,27.2,1,26,5,2018,12
0.0,1,1.6,1,49.0,1,829.2,1,192,1,993.2,1,28.4,1,26,5,2018,13
0.0,1,1.7,1,46.0,1,758.9,1,180,1,992.9,1,29.4,1,26,5,2018,14
0.0,1,2.5,1,46.0,1,433.0,1,180,1,992.7,1,28.1,1,26,5,2018,15
0.0,1,2.3,1,51.0,1,412.6,1,181,1,992.5,1,28.0,1,26,5,2018,16
0.0,1,1.5,1,51.0,1,121.6,1,193,1,992.4,1,27.0,1,26,5,2018,17
0.0,1,1.4,1,53.0,1,77.1,1,181,1,992.5,1,26.8,1,26,5,2018,18
0.0,1,0.5,1,60.0,1,0.0,1,162,1,993.5,1,25.1,1,26,5,2018,19
0.0,1,0.7,1,63.0,1,0.0,1,131,1,994.1,1,24.4,1,26,5,2018,20
0.0,1,0.7,1,68.0,1,0.0,1,116,1,994.8,1,23.4,1,26,5,2018,21
0.0,1,1.6,1,77.0,1,0.0,1,137,1,994.9,1,21.9,1,26,5,2018,22
0.0,1,1.3,1,75.0,1,0.0,1,128,1,994.7,1,21.9,1,26,5,2018,23
0.0,1,0.9,1,80.0,1,0.0,1,106,1,994.2,1,20.5,1,27,5,2018,0
