Pioggia mm,Qual_x,Vel. Vento m/s,Qual_y,Umidita' aria %,Qual_x.1,Rad.Sol.Tot. kJ/m2,Qual_y.1,Dir. Vento °,Qual_x.2,Pressione atm. hPa,Qual_y.2,Temp. aria °C,Qual,Day,Month,Year,Hour
0.0,1,0.6,1,94.0,1.0,0.0,1.0,93,1,981.6,1.0,13.3,1.0,20,5,2018,0
0.0,1,0.3,1,94.0,1.0,0.0,1.0,52,1,982.1,1.0,13.3,1.0,20,5,2018,1
0.0,1,1.5,1,93.0,1.0,0.0,1.0,33,1,981.5,1.0,12.8,1.0,20,5,2018,2
0.0,1,0.8,1,94.0,1.0,0.0,1.0,58,1,981.6,1.0,12.2,1.0,20,5,2018,3
0.0,1,1.2,1,95.0,1.0,0.0,1.0,31,1,981.5,1.0,12.1,1.0,20,5,2018,4
0.0,1,0.9,1,94.0,1.0,0.0,1.0,40,1,981.4,1.0,11.9,1.0,20,5,2018,5
0.0,1,0.8,1,92.0,1.0,61.3,1.0,346,1,981.9,1.0,12.6,1.0,20,5,2018,6
0.0,1,1.5,1,87.0,1.0,169.8,1.0,323,1,981.8,1.0,13.4,1.0,20,5,2018,7
0.0,1,1.9,1,81.0,1.0,389.0,1.0,330,1,981.9,1.0,15.3,1.0,20,5,2018,8
0.0,1,2.3,1,70.0,1.0,498.1,1.0,312,1,982.0,1.0,16.7,1.0,20,5,2018,9
0.0,1,2.4,1,68.0,1.0,285.4,1.0,325,1,981.1,1.0,17.3,1.0,20,5,2018,10
0.0,1,1.8,1,58.0,1.0,612.8,1.0,297,1,980.6,1.0,20.5,1.0,20,5,2018,11
0.0,1,2.4,1,51.0,1.0,234.9,1.0,160,1,980.3,1.0,20.0,1.0,20,5,2018,12
0.0,1,1.9,1,51.0,1.0,281.0,1.0,94,1,979.8,1.0,19.8,1.0,20,5,2018,13
0.0,1,1.0,1,49.0,1.0,386.8,1.0,266,1,979.7,1.0,21.1,1.0,20,5,2018,14
0.0,1,7.9,1,57.0,1.0,169.1,1.0,62,1,979.9,1.0,18.2,1.0,20,5,2018,15
0.0,1,3.4,1,57.0,1.0,160.3,1.0,71,1,979.2,1.0,19.2,1.0,20,5,2018,16
0.0,1,0.6,1,53.0,1.0,189.5,1.0,303,1,979.6,1.0,20.7,1.0,20,5,2018,17
0.2,1,2.9,1,70.0,1.0,19.2,1.0,31,1,980.4,1.0,16.9,1.0,20,5,2018,18
0.0,1,1.4,1,82.0,1.0,23.4,1.0,341,1,980.3,1.0,15.7,1.0,20,5,2018,19
0.0,1,0.6,1,82.0,1.0,0.0,1.0,34,1,981.0,1.0,15.7,1.0,20,5,2018,20
0.0,1,3.2,1,82.0,1.0,0.0,1.0,55,1,981.6,1.0,15.8,1.0,20,5,2018,21
0.2,1,1.4,1,87.0,1.0,0.0,1.0,88,1,982.2,1.0,14.9,1.0,20,5,2018,22
0.0,1,3.6,1,98.0,1.0,0.0,1.0,62,1,982.3,1.0,14.1,1.0,20,5,2018,23
0.0,1,2.2,1,97.0,1.0,0.0,1.0,63,1,982.4,1.0,13.5,1.0,21,5,2018,0
0.0,1,1.1,1,95.0,1.0,0.0,1.0,30,1,981.8,1.0,13.6,1.0,21,5,2018,1
0.0,1,1.3,1,97.0,1.0,0.0,1.0,73,1,982.2,1.0,13.0,1.0,21,5,2018,2
0.0,1,3.2,1,96.0,1.0,0.0,1.0,63,1,981.7,1.0,13.2,1.0,21,5,2018,3
0.0,1,1.2,1,99.0,1.0,0.0,1.0,21,1,981.5,1.0,12.8,1.0,21,5,2018,4
0.0,1,1.6,1,99.0,1.0,0.0,1.0,10,1,981.3,1.0,12.7,1.0,21,5,2018,5
0.0,1,1.6,1,100.0,1.0,46.4,1.0,336,1,981.5,1.0,12.8,1.0,21,5,2018,6
0.0,1,2.3,1,94.0,1.0,271.0,1.0,323,1,981.3,1.0,13.6,1.0,21,5,2018,7
0.0,1,2.1,1,89.0,1.0,393.0,1.0,322,1,980.9,1.0,15.1,1.0,21,5,2018,8
0.0,1,2.0,1,80.0,1.0,622.9,1.0,315,1,980.6,1.0,16.8,1.0,21,5,2018,9
0.0,1,1.5,1,73.0,1.0,462.9,1.0,319,1,980.0,1.0,18.3,1.0,21,5,2018,10
0.0,1,1.3,1,60.0,1.0,730.5,1.0,298,1,979.0,1.0,21.3,1.0,21,5,2018,11
0.0,1,2.3,1,50.0,1.0,825.2,1.0,119,1,978.1,1.0,22.0,1.0,21,5,2018,12
0.0,1,3.3,1,56.0,1.0,331.2,1.0,55,1,977.9,1.0,21.0,1.0,21,5,2018,13
0.0,1,2.0,1,54.0,1.0,301.4,1.0,229,1,977.7,1.0,20.2,1.0,21,5,2018,14
0.0,1,1.9,1,39.0,1.0,541.4,1.0,293,1,976.9,1.0,22.5,1.0,21,5,2018,15
0.0,1,2.2,1,36.0,1.0,492.2,1.0,294,1,976.3,1.0,23.2,1.0,21,5,2018,16
0.0,1,1.3,1,33.0,1.0,454.1,1.0,10,1,976.0,1.0,23.7,1.0,21,5,2018,17
0.0,1,7.0,1,53.0,1.0,220.0,1.0,59,1,976.3,1.0,20.0,1.0,21,5,2018,18
0.0,1,5.1,1,60.0,1.0,19.8,1.0,60,1,977.4,1.0,18.9,1.0,21,5,2018,19
0.0,1,7.0,1,74.0,1.0,0.0,1.0,61,1,977.3,1.0,16.6,1.0,21,5,2018,20
0.0,1,5.9,1,70.0,1.0,0.0,1.0,67,1,978.0,1.0,16.6,1.0,21,5,2018,21
0.0,1,8.9,1,77.0,1.0,0.0,1.0,60,1,977.7,1.0,15.4,1.0,21,5,2018,22
0.0,1,6.8,1,78.0,1.0,0.0,1.0,64,1,977.5,1.0,14.9,1.0,21,5,2018,23
