Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2019-02-10,1,42,µg/mc
"Parco S. Chiara",PM10,2019-02-10,2,40,µg/mc
"Parco S. Chiara",PM10,2019-02-10,3,40,µg/mc
"Parco S. Chiara",PM10,2019-02-10,4,39,µg/mc
"Parco S. Chiara",PM10,2019-02-10,5,38,µg/mc
"Parco S. Chiara",PM10,2019-02-10,6,36,µg/mc
"Parco S. Chiara",PM10,2019-02-10,7,35,µg/mc
"Parco S. Chiara",PM10,2019-02-10,8,35,µg/mc
"Parco S. Chiara",PM10,2019-02-10,9,36,µg/mc
"Parco S. Chiara",PM10,2019-02-10,10,38,µg/mc
"Parco S. Chiara",PM10,2019-02-10,11,41,µg/mc
"Parco S. Chiara",PM10,2019-02-10,12,41,µg/mc
"Parco S. Chiara",PM10,2019-02-10,13,42,µg/mc
"Parco S. Chiara",PM10,2019-02-10,14,44,µg/mc
"Parco S. Chiara",PM10,2019-02-10,15,44,µg/mc
"Parco S. Chiara",PM10,2019-02-10,16,46,µg/mc
"Parco S. Chiara",PM10,2019-02-10,17,45,µg/mc
"Parco S. Chiara",PM10,2019-02-10,18,47,µg/mc
"Parco S. Chiara",PM10,2019-02-10,19,49,µg/mc
"Parco S. Chiara",PM10,2019-02-10,20,51,µg/mc
"Parco S. Chiara",PM10,2019-02-10,21,50,µg/mc
"Parco S. Chiara",PM10,2019-02-10,22,51,µg/mc
"Parco S. Chiara",PM10,2019-02-10,23,50,µg/mc
"Parco S. Chiara",PM10,2019-02-10,24,41,µg/mc
"Parco S. Chiara",PM10,2019-02-11,1,29,µg/mc
"Parco S. Chiara",PM10,2019-02-11,2,24,µg/mc
"Parco S. Chiara",PM10,2019-02-11,3,23,µg/mc
"Parco S. Chiara",PM10,2019-02-11,4,24,µg/mc
"Parco S. Chiara",PM10,2019-02-11,5,26,µg/mc
"Parco S. Chiara",PM10,2019-02-11,6,27,µg/mc
"Parco S. Chiara",PM10,2019-02-11,7,24,µg/mc
"Parco S. Chiara",PM10,2019-02-11,8,22,µg/mc
"Parco S. Chiara",PM10,2019-02-11,9,18,µg/mc
"Parco S. Chiara",PM10,2019-02-11,10,16,µg/mc
"Parco S. Chiara",PM10,2019-02-11,11,10,µg/mc
"Parco S. Chiara",PM10,2019-02-11,12,6,µg/mc
"Parco S. Chiara",PM10,2019-02-11,13,4,µg/mc
"Parco S. Chiara",PM10,2019-02-11,14,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,15,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,16,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,17,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,18,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,19,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,20,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,21,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,22,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,23,2,µg/mc
"Parco S. Chiara",PM10,2019-02-11,24,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,1,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,2,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,3,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,4,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,5,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,6,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,7,3,µg/mc
"Parco S. Chiara",PM10,2019-02-12,8,6,µg/mc
"Parco S. Chiara",PM10,2019-02-12,9,10,µg/mc
"Parco S. Chiara",PM10,2019-02-12,10,5,µg/mc
"Parco S. Chiara",PM10,2019-02-12,11,3,µg/mc
"Parco S. Chiara",PM10,2019-02-12,12,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,13,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,14,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,15,2,µg/mc
"Parco S. Chiara",PM10,2019-02-12,16,3,µg/mc
"Parco S. Chiara",PM10,2019-02-12,17,3,µg/mc
"Parco S. Chiara",PM10,2019-02-12,18,4,µg/mc
"Parco S. Chiara",PM10,2019-02-12,19,5,µg/mc
"Parco S. Chiara",PM10,2019-02-12,20,10,µg/mc
"Parco S. Chiara",PM10,2019-02-12,21,14,µg/mc
"Parco S. Chiara",PM10,2019-02-12,22,18,µg/mc
"Parco S. Chiara",PM10,2019-02-12,23,13,µg/mc
"Parco S. Chiara",PM10,2019-02-12,24,12,µg/mc
"Parco S. Chiara",PM10,2019-02-13,1,10,µg/mc
"Parco S. Chiara",PM10,2019-02-13,2,10,µg/mc
"Parco S. Chiara",PM10,2019-02-13,3,9,µg/mc
"Parco S. Chiara",PM10,2019-02-13,4,9,µg/mc
"Parco S. Chiara",PM10,2019-02-13,5,9,µg/mc
