Stazione,Inquinante,Data,Ora,Valore,"Unità di misura"
"Parco S. Chiara",PM10,2018-05-20,1,14,µg/mc
"Parco S. Chiara",PM10,2018-05-20,2,13,µg/mc
"Parco S. Chiara",PM10,2018-05-20,3,13,µg/mc
"Parco S. Chiara",PM10,2018-05-20,4,12,µg/mc
"Parco S. Chiara",PM10,2018-05-20,5,12,µg/mc
"Parco S. Chiara",PM10,2018-05-20,6,10,µg/mc
"Parco S. Chiara",PM10,2018-05-20,7,9,µg/mc
"Parco S. Chiara",PM10,2018-05-20,8,8,µg/mc
"Parco S. Chiara",PM10,2018-05-20,9,6,µg/mc
"Parco S. Chiara",PM10,2018-05-20,10,4,µg/mc
"Parco S. Chiara",PM10,2018-05-20,11,3,µg/mc
"Parco S. Chiara",PM10,2018-05-20,12,2,µg/mc
"Parco S. Chiara",PM10,2018-05-20,13,4,µg/mc
"Parco S. Chiara",PM10,2018-05-20,14,4,µg/mc
"Parco S. Chiara",PM10,2018-05-20,15,4,µg/mc
"Parco S. Chiara",PM10,2018-05-20,16,5,µg/mc
"Parco S. Chiara",PM10,2018-05-20,17,5,µg/mc
"Parco S. Chiara",PM10,2018-05-20,18,7,µg/mc
"Parco S. Chiara",PM10,2018-05-20,19,14,µg/mc
"Parco S. Chiara",PM10,2018-05-20,20,20,µg/mc
"Parco S. Chiara",PM10,2018-05-20,21,18,µg/mc
"Parco S. Chiara",PM10,2018-05-20,22,20,µg/mc
"Parco S. Chiara",PM10,2018-05-20,23,24,µg/mc
"Parco S. Chiara",PM10,2018-05-20,24,28,µg/mc
"Parco S. Chiara",PM10,2018-05-21,1,24,µg/mc
"Parco S. Chiara",PM10,2018-05-21,2,21,µg/mc
"Parco S. Chiara",PM10,2018-05-21,3,21,µg/mc
"Parco S. Chiara",PM10,2018-05-21,4,17,µg/mc
"Parco S. Chiara",PM10,2018-05-21,5,17,µg/mc
"Parco S. Chiara",PM10,2018-05-21,6,15,µg/mc
"Parco S. Chiara",PM10,2018-05-21,7,14,µg/mc
"Parco S. Chiara",PM10,2018-05-21,8,14,µg/mc
"Parco S. Chiara",PM10,2018-05-21,9,9,µg/mc
"Parco S. Chiara",PM10,2018-05-21,10,5,µg/mc
"Parco S. Chiara",PM10,2018-05-21,11,3,µg/mc
"Parco S. Chiara",PM10,2018-05-21,12,3,µg/mc
"Parco S. Chiara",PM10,2018-05-21,13,3,µg/mc
"Parco S. Chiara",PM10,2018-05-21,14,4,µg/mc
"Parco S. Chiara",PM10,2018-05-21,15,4,µg/mc
"Parco S. Chiara",PM10,2018-05-21,16,3,µg/mc
"Parco S. Chiara",PM10,2018-05-21,17,3,µg/mc
"Parco S. Chiara",PM10,2018-05-21,18,3,µg/mc
"Parco S. Chiara",PM10,2018-05-21,19,6,µg/mc
"Parco S. Chiara",PM10,2018-05-21,20,12,µg/mc
"Parco S. Chiara",PM10,2018-05-21,21,16,µg/mc
"Parco S. Chiara",PM10,2018-05-21,22,15,µg/mc
"Parco S. Chiara",PM10,2018-05-21,23,17,µg/mc
"Parco S. Chiara",PM10,2018-05-21,24,18,µg/mc
"Parco S. Chiara",PM10,2018-05-22,1,19,µg/mc
"Parco S. Chiara",PM10,2018-05-22,2,19,µg/mc
"Parco S. Chiara",PM10,2018-05-22,3,19,µg/mc
"Parco S. Chiara",PM10,2018-05-22,4,17,µg/mc
"Parco S. Chiara",PM10,2018-05-22,5,14,µg/mc
"Parco S. Chiara",PM10,2018-05-22,6,14,µg/mc
"Parco S. Chiara",PM10,2018-05-22,7,14,µg/mc
"Parco S. Chiara",PM10,2018-05-22,8,12,µg/mc
"Parco S. Chiara",PM10,2018-05-22,9,12,µg/mc
"Parco S. Chiara",PM10,2018-05-22,10,15,µg/mc
"Parco S. Chiara",PM10,2018-05-22,11,17,µg/mc
"Parco S. Chiara",PM10,2018-05-22,12,19,µg/mc
"Parco S. Chiara",PM10,2018-05-22,13,19,µg/mc
"Parco S. Chiara",PM10,2018-05-22,14,20,µg/mc
"Parco S. Chiara",PM10,2018-05-22,15,22,µg/mc
"Parco S. Chiara",PM10,2018-05-22,16,17,µg/mc
"Parco S. Chiara",PM10,2018-05-22,17,17,µg/mc
"Parco S. Chiara",PM10,2018-05-22,18,17,µg/mc
"Parco S. Chiara",PM10,2018-05-22,19,19,µg/mc
"Parco S. Chiara",PM10,2018-05-22,20,20,µg/mc
"Parco S. Chiara",PM10,2018-05-22,21,19,µg/mc
"Parco S. Chiara",PM10,2018-05-22,22,16,µg/mc
"Parco S. Chiara",PM10,2018-05-22,23,13,µg/mc
"Parco S. Chiara",PM10,2018-05-22,24,14,µg/mc
"Parco S. Chiara",PM10,2018-05-23,1,17,µg/mc
"Parco S. Chiara",PM10,2018-05-23,2,15,µg/mc
"Parco S. Chiara",PM10,2018-05-23,3,15,µg/mc
"Parco S. Chiara",PM10,2018-05-23,4,20,µg/mc
"Parco S. Chiara",PM10,2018-05-23,5,34,µg/mc
"Parco S. Chiara",PM10,2018-05-23,6,36,µg/mc
"Parco S. Chiara",PM10,2018-05-23,7,36,µg/mc
"Parco S. Chiara",PM10,2018-05-23,8,30,µg/mc
"Parco S. Chiara",PM10,2018-05-23,9,26,µg/mc
"Parco S. Chiara",PM10,2018-05-23,10,17,µg/mc
"Parco S. Chiara",PM10,2018-05-23,11,12,µg/mc
"Parco S. Chiara",PM10,2018-05-23,12,12,µg/mc
"Parco S. Chiara",PM10,2018-05-23,13,17,µg/mc
"Parco S. Chiara",PM10,2018-05-23,14,18,µg/mc
"Parco S. Chiara",PM10,2018-05-23,15,22,µg/mc
"Parco S. Chiara",PM10,2018-05-23,16,25,µg/mc
"Parco S. Chiara",PM10,2018-05-23,17,18,µg/mc
"Parco S. Chiara",PM10,2018-05-23,18,19,µg/mc
"Parco S. Chiara",PM10,2018-05-23,19,16,µg/mc
"Parco S. Chiara",PM10,2018-05-23,20,17,µg/mc
"Parco S. Chiara",PM10,2018-05-23,21,21,µg/mc
"Parco S. Chiara",PM10,2018-05-23,22,19,µg/mc
"Parco S. Chiara",PM10,2018-05-23,23,18,µg/mc
"Parco S. Chiara",PM10,2018-05-23,24,17,µg/mc
"Parco S. Chiara",PM10,2018-05-24,1,21,µg/mc
